Cipher,Family,ISO Standard,Block (bits),Key (bits),Full Rounds,Std-CASI Frontier,Std-CASI Margin %,Full-Round CASI,F8 t-stat,F8 All Broken,F8 Verdict
ascon128,Sponge-LWC,NIST SP 800-232,320,128,12,CLEAN,100.0,1.5339,N/A,N/A,N/A
ascon128a,Sponge-LWC,NIST SP 800-232,320,128,12,CLEAN,100.0,0.8538,N/A,N/A,N/A
ascon_hash,Sponge-LWC,NIST SP 800-232,320,0,12,CLEAN,100.0,0.9828,N/A,N/A,N/A
ascon_xof,Sponge-LWC,NIST SP 800-232,320,0,12,CLEAN,100.0,0.9828,N/A,N/A,N/A
gift128,SPN-LWC,None,128,128,40,R7,82.5,1.0225,N/A,N/A,N/A
gift64,SPN-LWC,None,64,128,28,R6,78.6,0.8637,N/A,N/A,N/A
grain128a,LFSR-NFSR,ISO/IEC 29167-13,128,128,256,CLEAN,100.0,0.7799,N/A,N/A,N/A
katan32,LFSR-block,None,32,80,254,R48,81.1,0.9556,N/A,N/A,N/A
katan48,LFSR-block,None,48,80,254,R32,87.4,1.0035,N/A,N/A,N/A
katan64,LFSR-block,None,64,80,254,R32,87.4,0.7849,N/A,N/A,N/A
lea128,ARX-block,Korean TTA,128,128,24,R9,62.5,0.8412,0.34,False,IMMUNE
lea192,ARX-block,Korean TTA,128,192,28,R9,67.9,0.814,0,False,IMMUNE
lea256,ARX-block,Korean TTA,128,256,32,R9,71.9,0.8422,0.89,False,IMMUNE
present128,SPN-ultralight,ISO/IEC 29167-11,64,128,31,R7,77.4,0.8422,N/A,N/A,N/A
present80,SPN-ultralight,ISO/IEC 29167-11,64,80,31,R7,77.4,1.2355,N/A,N/A,N/A
simon128_128,Feistel-LWC,ISO/IEC 29167-21,128,128,68,R16,76.5,0.7943,0.6,False,IMMUNE
simon128_192,Feistel-LWC,ISO/IEC 29167-21,128,192,69,R16,76.8,0.9523,2.23,False,IMMUNE
simon128_256,Feistel-LWC,ISO/IEC 29167-21,128,256,72,R16,77.8,0.8631,1.6,False,IMMUNE
simon32_64,Feistel-LWC,ISO/IEC 29167-21,32,64,32,R9,71.9,0.8392,1.5,False,IMMUNE
simon48_72,Feistel-LWC,ISO/IEC 29167-21,48,72,36,R9,75.0,0.8406,0,False,IMMUNE
simon48_96,Feistel-LWC,ISO/IEC 29167-21,48,96,36,R9,75.0,1.0134,1.23,False,IMMUNE
simon64_128,Feistel-LWC,ISO/IEC 29167-21,64,128,44,R11,75.0,0.9544,1.37,False,IMMUNE
simon64_96,Feistel-LWC,ISO/IEC 29167-21,64,96,42,R11,73.8,0.9369,0,False,IMMUNE
simon96_144,Feistel-LWC,ISO/IEC 29167-21,96,144,54,R12,77.8,1.0285,0,False,IMMUNE
simon96_96,Feistel-LWC,ISO/IEC 29167-21,96,96,52,R12,76.9,1.0146,0.39,False,IMMUNE
skinny128_128,SPN-TBC,None,128,128,40,R7,82.5,0.9237,N/A,N/A,N/A
skinny128_256,SPN-TBC,None,128,256,48,R7,85.4,0.9295,N/A,N/A,N/A
skinny128_384,SPN-TBC,None,128,384,56,R7,87.5,0.883,N/A,N/A,N/A
skinny64_128,SPN-TBC,None,64,128,36,R6,83.3,0.8921,N/A,N/A,N/A
skinny64_192,SPN-TBC,None,64,192,40,R6,85.0,0.8563,N/A,N/A,N/A
skinny64_64,SPN-TBC,None,64,64,32,R6,81.2,0.7809,N/A,N/A,N/A
speck128_128,ARX-Feistel,ISO/IEC 29167-22,128,128,32,R8,75.0,0.7981,28.08,True,ALL BROKEN
speck128_192,ARX-Feistel,ISO/IEC 29167-22,128,192,33,R8,75.8,0.8274,21.52,True,ALL BROKEN
speck128_256,ARX-Feistel,ISO/IEC 29167-22,128,256,34,R8,76.5,0.9239,40.4,True,ALL BROKEN
speck32_64,ARX-Feistel,ISO/IEC 29167-22,32,64,22,R5,77.3,0.9505,27.62,True,ALL BROKEN
speck48_72,ARX-Feistel,ISO/IEC 29167-22,48,72,22,R4,81.8,0.8131,21.52,True,ALL BROKEN
speck48_96,ARX-Feistel,ISO/IEC 29167-22,48,96,23,R4,82.6,0.9826,17.87,True,ALL BROKEN
speck64_128,ARX-Feistel,ISO/IEC 29167-22,64,128,27,R5,81.5,1.182,26.94,True,ALL BROKEN
speck64_96,ARX-Feistel,ISO/IEC 29167-22,64,96,26,R5,80.8,1.008,18.58,True,ALL BROKEN
speck96_144,ARX-Feistel,ISO/IEC 29167-22,96,144,29,R6,79.3,1.3246,33.79,True,ALL BROKEN
speck96_96,ARX-Feistel,ISO/IEC 29167-22,96,96,28,R6,78.6,0.8963,26.17,True,ALL BROKEN
